State_code,District_code,Subdistrict_code,Subdistrict_name,Number of households_total,population_total,Area_total,population density_total,State_name,District_name,Household density,% Rural Population,% Rural Households,% Rural Area
2,31,161,Nalagarh,22347,114211,348.00424625036527,328.0,HIMACHAL PRADESH,Solan,64.21473370161944,90.62437068233358,89.34980086812547,99.44253553774045
2,31,162,Baddi,20365,90942,231.5017003255033,393.0,HIMACHAL PRADESH,Solan,87.96911630180583,67.10980625013745,58.98846059415664,96.98058373214036
2,31,163,Krishangarh,5023,24511,121.16717853083348,202.0,HIMACHAL PRADESH,Solan,41.45512061025498,100.0,100.0,100.0
2,31,164,Kasauli,15698,67264,168.02974583718373,400.0,HIMACHAL PRADESH,Solan,93.42393468362998,81.2039129400571,79.3604280800102,93.3940267869264
2,31,165,Solan,26189,116598,260.84872665446363,447.0,HIMACHAL PRADESH,Solan,100.39918666994902,60.681143758898095,57.10030929015999,95.44180255257669
2,31,166,Kandaghat,8220,40529,230.26603605902085,176.0,HIMACHAL PRADESH,Solan,35.697839510700064,100.0,100.0,100.0
2,32,167,Rajgarh,9754,48999,379.0715003639689,129.0,HIMACHAL PRADESH,Sirmaur,25.731293412020186,93.70803485785424,92.52614312077097,99.45920492623907
2,32,168,Nohra,4291,23022,181.9244074955065,127.0,HIMACHAL PRADESH,Sirmaur,23.586719666001862,100.0,100.0,100.0
2,32,169,Pachhad,10549,53800,394.0790603043324,137.0,HIMACHAL PRADESH,Sirmaur,26.768740241750994,100.0,100.0,100.0
2,32,170,Renuka,7276,47388,296.56577493073445,160.0,HIMACHAL PRADESH,Sirmaur,24.534186393218754,100.0,100.0,100.0
2,32,171,Dadahu,3287,17403,131.7489613604206,132.0,HIMACHAL PRADESH,Sirmaur,24.948963286381286,100.0,100.0,100.0
2,32,172,Nahan,17705,84149,298.0,282.0,HIMACHAL PRADESH,Sirmaur,59.41275167785235,65.65734589834697,62.276193165772376,96.34563758389262
2,32,173,Paonta Sahib,31523,157799,737.0,214.0,HIMACHAL PRADESH,Sirmaur,42.77204884667571,84.04109024772019,81.87672493100277,99.16146540027138
2,32,174,Kamrau,5650,37066,164.08948472678773,226.0,HIMACHAL PRADESH,Sirmaur,34.432431849044825,100.0,100.0,100.0
2,32,175,Shalai,5046,36905,126.5654628417694,292.0,HIMACHAL PRADESH,Sirmaur,39.86869629915112,100.0,100.0,100.0
2,32,176,Ronhat,3127,23324,115.97309630365612,201.0,HIMACHAL PRADESH,Sirmaur,26.963150072431233,100.0,100.0,100.0
2,33,177,Rampur,18484,77542,832.1593022206645,93.0,HIMACHAL PRADESH,Shimla,22.212093226230113,86.70397977870059,84.88422419389742,99.33185869758799
2,33,178,Nankhari,6075,26238,157.25700144452148,167.0,HIMACHAL PRADESH,Shimla,38.63103037827662,100.0,100.0,100.0
2,33,179,Kumharsain,10346,43062,227.2853501174362,189.0,HIMACHAL PRADESH,Shimla,45.51987180279908,97.90766801356185,97.78658418712546,99.56002443647014
2,33,180,Seoni,7354,35379,247.24670184195864,143.0,HIMACHAL PRADESH,Shimla,29.743571684530355,92.67644647955001,91.02529235790047,99.28816037306535
